NbEvaluations;Fbest
800;26294.0
900;28113.0
1000;28846.0
1100;27475.0
1200;26725.0
1300;26321.0
1400;26482.0
1500;26143.0
1600;27098.0
1700;27762.0
1800;26564.0
1900;27685.0
2000;27083.0
2100;26972.0
2200;27212.0
2300;26286.0
2400;27499.0
2500;28207.0
2600;27044.0
2700;27695.0
2800;27434.0
2900;26304.0
3000;27149.0
3100;26507.0
3200;26928.0
3300;26868.0
3400;27022.0
3500;26884.0
3600;26941.0
3700;27191.0
3800;26723.0
3900;27762.0
4000;28248.0
4100;27553.0
4200;26849.0
4300;27717.0
4400;26606.0
4500;27274.0
4600;27154.0
4700;27179.0
4800;27328.0
4900;27324.0
5000;27329.0
5100;26744.0
5200;27799.0
5300;26648.0
5400;27522.0
5500;27149.0
5600;26354.0
5700;26487.0
5800;26525.0
5900;26806.0
6000;27495.0
6100;27362.0
6200;27977.0
6300;26985.0
6400;26674.0
6500;27638.0
6600;27003.0
6700;26830.0
6800;28302.0
6900;26461.0
7000;26968.0
7100;28130.0
7200;28051.0
7300;27555.0
7400;26738.0
7500;27709.0
7600;26889.0
7700;26584.0
7800;27256.0
7900;27781.0
8000;26679.0
8100;28275.0
8200;27184.0
8300;27091.0
8400;26736.0
8500;27343.0
8600;27055.0
8700;26505.0
8800;27008.0
8900;28066.0
9000;26902.0
9100;27006.0
9200;27581.0
9300;26224.0
9400;26530.0
9500;27271.0
9600;27423.0
9700;26931.0
9800;27602.0
9900;26407.0
100;27052.0
200;25381.0
300;25417.0
400;26983.0
500;26102.0
600;25966.0
700;25564.0
800;26730.0
900;25835.0
1000;26623.0
1100;26389.0
1200;27643.0
1300;27608.0
1400;26401.0
1500;27579.0
1600;27040.0
1700;27127.0
1800;26595.0
1900;26363.0
2000;26836.0
2100;28158.0
2200;26764.0
2300;26794.0
2400;27517.0
2500;27131.0
2600;27211.0
2700;26834.0
2800;28041.0
2900;26904.0
3000;26310.0
3100;28089.0
3200;27213.0
3300;27605.0
3400;26777.0
3500;28149.0
3600;27744.0
3700;28175.0
3800;26914.0
3900;26756.0
4000;27211.0
4100;26515.0
4200;26425.0
4300;28470.0
4400;28326.0
4500;28110.0
4600;27000.0
4700;26618.0
4800;26760.0
4900;27091.0
5000;26590.0
5100;26820.0
5200;26724.0
5300;26869.0
5400;26980.0
5500;27094.0
5600;26354.0
5700;27055.0
5800;26347.0
5900;28115.0
6000;26475.0
6100;27566.0
6200;26945.0
6300;28057.0
6400;26994.0
6500;26942.0
6600;26510.0
6700;27284.0
6800;26961.0
6900;27074.0
7000;27444.0
7100;26765.0
7200;27006.0
7300;27356.0
7400;27820.0
7500;26874.0
7600;27261.0
7700;27323.0
7800;26271.0
7900;28191.0
8000;27018.0
8100;26594.0
8200;27131.0
8300;27778.0
8400;27176.0
8500;26954.0
8600;27606.0
8700;26652.0
8800;27703.0
8900;26690.0
9000;27665.0
9100;27098.0
9200;26256.0
9300;27046.0
9400;27339.0
9500;27144.0
9600;27044.0
9700;28843.0
9800;27129.0
9900;27442.0
100;25115.0
200;26612.0
300;26259.0
400;26719.0
500;26751.0
600;27961.0
700;26986.0
800;26321.0
900;26378.0
1000;26360.0
1100;26217.0
1200;28050.0
1300;26880.0
1400;26602.0
1500;26771.0
1600;27160.0
1700;27227.0
1800;27260.0
1900;27940.0
2000;27158.0
2100;26909.0
2200;26797.0
2300;28188.0
2400;27996.0
2500;26238.0
2600;26110.0
2700;26525.0
2800;27610.0
2900;27695.0
3000;26514.0
3100;27836.0
3200;26967.0
3300;26991.0
3400;26942.0
3500;26922.0
3600;26967.0
3700;27470.0
3800;28022.0
3900;27914.0
4000;27912.0
4100;27222.0
4200;28710.0
4300;26683.0
4400;28331.0
4500;27013.0
4600;27398.0
4700;26638.0
4800;26712.0
4900;27175.0
5000;27576.0
5100;27038.0
5200;27502.0
5300;27842.0
5400;27465.0
5500;26746.0
5600;28023.0
5700;26502.0
5800;27241.0
5900;26790.0
6000;27249.0
6100;26820.0
6200;26775.0
6300;26508.0
6400;26369.0
6500;27716.0
6600;27779.0
6700;26166.0
6800;28276.0
6900;27090.0
7000;27343.0
7100;27394.0
7200;27202.0
7300;27780.0
7400;27509.0
7500;26253.0
7600;27518.0
7700;26865.0
7800;27312.0
7900;27021.0
8000;26647.0
8100;27340.0
8200;27121.0
8300;26916.0
8400;26827.0
8500;26394.0
8600;27411.0
8700;27399.0
8800;26421.0
8900;27266.0
9000;27188.0
9100;28065.0
9200;26325.0
9300;27766.0
9400;28056.0
9500;27122.0
9600;27572.0
9700;26903.0
9800;26887.0
9900;27717.0
100;25696.0
200;26999.0
300;26488.0
400;25636.0
500;26451.0
600;25821.0
700;27162.0
800;26982.0
900;26868.0
1000;25547.0
1100;27075.0
1200;27522.0
1300;27536.0
1400;27807.0
1500;26607.0
1600;26816.0
1700;26908.0
1800;28100.0
1900;26459.0
2000;27020.0
2100;27300.0
2200;27193.0
2300;26654.0
2400;27158.0
2500;26451.0
2600;26847.0
2700;28120.0
2800;27893.0
2900;26570.0
3000;27440.0
3100;26891.0
3200;26614.0
3300;26460.0
3400;27040.0
3500;26650.0
3600;27507.0
3700;27419.0
3800;28133.0
3900;27193.0
4000;26626.0
4100;27390.0
4200;26885.0
4300;26965.0
4400;26829.0
4500;26983.0
4600;28363.0
4700;27791.0
4800;27222.0
4900;27498.0
5000;27352.0
5100;27391.0
5200;26790.0
5300;29289.0
5400;26964.0
5500;26925.0
5600;27290.0
5700;27181.0
5800;26681.0
5900;26664.0
6000;27651.0
6100;27183.0
6200;26656.0
6300;26617.0
6400;27962.0
6500;26250.0
6600;26488.0
6700;26893.0
6800;26843.0
6900;27803.0
7000;27100.0
7100;28523.0
7200;26457.0
7300;26326.0
7400;26956.0
7500;27890.0
7600;26578.0
7700;26654.0
7800;28021.0
7900;26697.0
8000;27032.0
8100;27738.0
8200;27300.0
8300;26863.0
8400;26850.0
8500;27356.0
8600;27243.0
8700;27043.0
8800;26517.0
8900;27839.0
9000;26584.0
9100;26564.0
9200;27701.0
9300;26564.0
9400;26937.0
9500;26949.0
9600;26539.0
9700;27085.0
9800;27914.0
9900;26952.0
100;24582.0
200;26411.0
300;24399.0
400;25817.0
500;26741.0
600;25993.0
700;25989.0
800;26817.0
900;26862.0
