

100;27090.0
100;28023.0
100;27535.0
100;27375.0
100;27538.0
100;27267.0
150;27464.0
150;27106.0
150;27622.0
200;27644.0
200;28194.0
200;27463.0
250;27804.0
250;27992.0
250;27898.0
300;28025.0
300;28230.0
300;27661.0
350;28225.0
350;28517.0
350;27402.0
400;28179.0
400;28146.0
400;28582.0
450;28196.0
450;28377.0
450;28466.0
500;27589.0
500;28360.0
500;28107.0
550;28332.0
550;27724.0
550;28341.0
600;28540.0
600;27982.0
600;28066.0
650;28990.0
650;28262.0
650;27738.0
700;27923.0
700;28270.0
700;28157.0
750;28187.0
750;27812.0
750;28802.0
800;28210.0
800;28776.0
800;28491.0
850;28079.0
850;27882.0
850;28152.0
900;28659.0
900;28832.0
900;28277.0
950;28269.0
950;28263.0
950;28615.0
1000;28222.0
1000;28411.0
50;27490.0
50;27323.0
100;27409.0
150;27617.0
200;28405.0
250;27119.0
300;27995.0
350;28393.0
400;28099.0
450;28311.0
500;27817.0
550;28191.0
600;28142.0
650;28968.0
700;28245.0
750;28283.0
800;28262.0
850;28561.0
900;28209.0
950;29014.0
1000;28210.0
50;27505.0
100;27378.0
150;27299.0
200;28210.0
250;28203.0
300;27748.0
350;28229.0
400;27792.0
450;28097.0
500;28330.0
550;28440.0
600;28675.0
650;28358.0
700;27821.0
750;28256.0
800;28850.0
850;28910.0
900;28518.0
950;28285.0
1000;28324.0
50;27165.0
100;27191.0
150;27980.0
200;27856.0
250;27912.0
300;27927.0
350;28559.0
400;27773.0
450;28090.0
500;28303.0
550;28658.0
600;27981.0
650;28039.0
700;28180.0
750;28797.0
800;28448.0
850;28173.0
900;28132.0
950;29557.0
1000;27886.0
50;27524.0
100;27786.0
150;27585.0
200;28132.0
250;27966.0
300;28220.0
350;28234.0
400;28126.0
450;28608.0
500;28486.0
550;28649.0
600;27924.0
650;27904.0
700;28194.0
750;28134.0
800;28121.0
850;27964.0
900;28172.0
950;28407.0
1000;28729.0
50;27291.0
100;27539.0
150;28291.0
200;27467.0
250;28086.0
300;28190.0
350;27741.0
400;28773.0
450;27840.0
500;27908.0
550;28677.0
600;28303.0
650;28538.0
700;28205.0
750;28560.0
800;28259.0
850;28034.0
900;28408.0
950;28291.0
1000;28645.0
50;27207.0
100;27638.0
150;27651.0
200;27537.0
250;28038.0
300;28072.0
350;27976.0
400;28866.0
450;28283.0
500;28194.0
550;27946.0
600;28639.0
650;27953.0
700;27954.0
750;28360.0
800;28649.0
850;28406.0
900;28401.0
950;28143.0
1000;28329.0
50;27650.0
100;27709.0
150;27657.0
200;27888.0
250;28467.0
300;28360.0
350;27847.0
400;28090.0
450;27925.0
500;28443.0
550;27907.0
600;28202.0
650;28360.0
700;28226.0
750;28520.0
800;27845.0
850;27884.0
900;27981.0
950;28305.0
1000;28239.0
50;28187.0
100;27552.0
150;28447.0
200;27926.0
250;28097.0
300;28077.0
350;28164.0
400;28555.0
450;29346.0
500;27873.0
550;27953.0
600;28313.0
650;28021.0
700;27975.0
750;28216.0
800;27516.0
850;28275.0
900;28598.0
950;28640.0
1000;28001.0
