NbEvaluations;Fbest
1000;26169.0
1000;27130.0
1000;27443.0
1000;27324.0
1000;26468.0
1000;27107.0
1000;27296.0
1000;26949.0
1000;27511.0
1000;27407.0
1000;27873.0
1000;26885.0
1000;27538.0
1000;26922.0
1000;26522.0
1000;26998.0
1000;27677.0
1000;26734.0
1000;27340.0
1000;27386.0
1000;27740.0
1000;26754.0
1000;26915.0
1000;27253.0
1000;27362.0
1000;27237.0
1000;26588.0
1000;27859.0
1000;26859.0
1000;26413.0
1000;26603.0
1000;26117.0
1000;26117.0
1000;26470.0
1000;26498.0
1000;26547.0
1000;26132.0
1000;27632.0
1000;26092.0
1000;28118.0
1000;26787.0
1000;27099.0
1000;28375.0
1000;26668.0
1000;26951.0
1000;28098.0
1000;26578.0
1000;26725.0
1000;26644.0
1000;25942.0
1000;26506.0
1000;26570.0
1000;26370.0
1000;27985.0
1000;27091.0
1000;27555.0
1000;27019.0
1000;26030.0
1000;25996.0
1000;27056.0
1000;28389.0
1000;27643.0
1000;26780.0
1000;27087.0
1000;26663.0
1000;27144.0
1000;26391.0
1000;26889.0
1000;26110.0
1000;26534.0
1000;28123.0
1000;25787.0
1000;26130.0
1000;27174.0
1000;25789.0
1000;26350.0
1000;26130.0
1000;26068.0
1000;26350.0
1000;27212.0
1000;26656.0
1000;27619.0
1000;27518.0
1000;27254.0
1000;27096.0
1000;27677.0
1000;26708.0
1000;26350.0
1000;26634.0
1000;27376.0
1000;27753.0
1000;27251.0
1000;27351.0
1000;26428.0
1000;27347.0
1000;26594.0
1000;26457.0
1000;25943.0
1000;26744.0
1000;26653.0
